date,city,vegetable,wholesale_price,volume_kg,origin_province
2019-01-01,Beijing,白菜,1.83,2250,Henan
2019-01-02,Beijing,白菜,1.7,2234,Henan
2019-01-03,Beijing,白菜,1.94,1950,Guangdong
2019-01-04,Beijing,白菜,2.05,1866,Shandong
2019-01-05,Beijing,白菜,2.2,1681,Sichuan
2019-01-06,Beijing,白菜,2.09,1939,Henan
2019-01-07,Beijing,白菜,2.04,1956,Hebei
2019-01-08,Beijing,白菜,2.0,2188,Guangdong
2019-01-09,Beijing,白菜,2.23,1593,Sichuan
2019-01-10,Beijing,白菜,2.25,1558,Shandong
2019-01-11,Beijing,白菜,2.19,1575,Guangdong
2019-01-12,Beijing,白菜,2.28,1908,Sichuan
2019-01-13,Beijing,白菜,2.1,1606,Shandong
2019-01-14,Beijing,白菜,2.24,1798,Sichuan
2019-01-15,Beijing,白菜,2.59,1680,Henan
2019-01-16,Beijing,白菜,2.64,1603,Sichuan
2019-01-17,Beijing,白菜,2.57,1525,Guangdong
2019-01-18,Beijing,白菜,2.6,1694,Guangdong
2019-01-19,Beijing,白菜,2.67,1617,Henan
2019-01-20,Beijing,白菜,2.66,1457,Sichuan
2019-01-21,Beijing,白菜,2.62,1367,Henan
2019-01-22,Beijing,白菜,2.7,1601,Sichuan
2019-01-23,Beijing,白菜,2.89,1428,Sichuan
2019-01-24,Beijing,白菜,2.42,1778,Sichuan
2019-01-25,Beijing,白菜,2.68,1298,Hebei
2019-01-26,Beijing,白菜,2.84,1377,Hebei
2019-01-27,Beijing,白菜,2.57,1430,Henan
2019-01-28,Beijing,白菜,2.41,1893,Hebei
2019-01-29,Beijing,白菜,2.72,1620,Guangdong
2019-01-30,Beijing,白菜,2.58,1935,Guangdong
2019-01-31,Beijing,白菜,2.65,1804,Shandong
2019-02-01,Beijing,白菜,3.05,1409,Henan
2019-02-02,Beijing,白菜,2.74,1457,Henan
2019-02-03,Beijing,白菜,2.93,1203,Guangdong
2019-02-04,Beijing,白菜,2.96,1221,Henan
2019-02-05,Beijing,白菜,2.63,1614,Shandong
2019-02-06,Beijing,白菜,2.73,1566,Shandong
2019-02-07,Beijing,白菜,2.67,1691,Sichuan
2019-02-08,Beijing,白菜,2.66,1579,Henan
2019-02-09,Beijing,白菜,2.86,1464,Sichuan
2019-02-10,Beijing,白菜,2.91,1406,Sichuan
2019-02-11,Beijing,白菜,2.96,1186,Henan
2019-02-12,Beijing,白菜,2.69,1605,Guangdong
2019-02-13,Beijing,白菜,2.8,1564,Hebei
2019-02-14,Beijing,白菜,2.61,1645,Guangdong
2019-02-15,Beijing,白菜,2.49,1467,Hebei
2019-02-16,Beijing,白菜,2.39,1665,Guangdong
2019-02-17,Beijing,白菜,2.86,1452,Hebei
2019-02-18,Beijing,白菜,2.25,1734,Henan
2019-02-19,Beijing,白菜,2.52,1639,Guangdong
2019-02-20,Beijing,白菜,2.4,1567,Hebei
2019-02-21,Beijing,白菜,2.59,1350,Shandong
2019-02-22,Beijing,白菜,2.38,1911,Henan
2019-02-23,Beijing,白菜,2.82,1356,Hebei
2019-02-24,Beijing,白菜,2.46,1472,Shandong
2019-02-25,Beijing,白菜,2.67,2073,Guangdong
2019-02-26,Beijing,白菜,2.57,1449,Sichuan
2019-02-27,Beijing,白菜,2.62,1466,Henan
2019-02-28,Beijing,白菜,2.32,1781,Shandong
2019-03-01,Beijing,白菜,2.67,1214,Guangdong
2019-03-02,Beijing,白菜,2.61,1636,Guangdong
2019-03-03,Beijing,白菜,2.67,1564,Henan
2019-03-04,Beijing,白菜,2.31,1761,Hebei
2019-03-05,Beijing,白菜,2.9,1320,Shandong
2019-03-06,Beijing,白菜,2.53,1847,Shandong
2019-03-07,Beijing,白菜,2.41,1605,Hebei
2019-03-08,Beijing,白菜,2.72,1713,Guangdong
2019-03-09,Beijing,白菜,2.65,1317,Guangdong
2019-03-10,Beijing,白菜,2.66,1463,Hebei
2019-03-11,Beijing,白菜,2.59,1715,Guangdong
2019-03-12,Beijing,白菜,2.93,1547,Shandong
2019-03-13,Beijing,白菜,3.19,1262,Guangdong
2019-03-14,Beijing,白菜,2.72,1382,Hebei
2019-03-15,Beijing,白菜,2.88,1462,Sichuan
2019-03-16,Beijing,白菜,2.7,1795,Henan
2019-03-17,Beijing,白菜,2.98,1401,Shandong
2019-03-18,Beijing,白菜,2.56,1451,Shandong
2019-03-19,Beijing,白菜,2.46,1807,Shandong
2019-03-20,Beijing,白菜,2.62,1658,Sichuan
2019-03-21,Beijing,白菜,2.8,1403,Sichuan
2019-03-22,Beijing,白菜,2.72,1540,Guangdong
2019-03-23,Beijing,白菜,2.53,1386,Guangdong
2019-03-24,Beijing,白菜,3.0,1445,Henan
2019-03-25,Beijing,白菜,2.73,1604,Hebei
2019-03-26,Beijing,白菜,2.69,1615,Sichuan
2019-03-27,Beijing,白菜,2.66,1650,Sichuan
2019-03-28,Beijing,白菜,2.74,1544,Guangdong
2019-03-29,Beijing,白菜,2.91,1669,Guangdong
2019-03-30,Beijing,白菜,2.93,1450,Guangdong
2019-03-31,Beijing,白菜,3.12,1332,Sichuan
2019-04-01,Beijing,白菜,2.75,1467,Guangdong
2019-04-02,Beijing,白菜,2.88,1358,Shandong
2019-04-03,Beijing,白菜,2.5,1373,Sichuan
2019-04-04,Beijing,白菜,2.76,1566,Sichuan
2019-04-05,Beijing,白菜,2.41,1921,Shandong
2019-04-06,Beijing,白菜,2.58,1484,Shandong
2019-04-07,Beijing,白菜,2.89,1271,Hebei
2019-04-08,Beijing,白菜,2.65,1296,Sichuan
2019-04-09,Beijing,白菜,2.68,1562,Shandong
2019-04-10,Beijing,白菜,2.74,1601,Henan
2019-04-11,Beijing,白菜,2.87,1247,Hebei
2019-04-12,Beijing,白菜,2.96,1480,Hebei
2019-04-13,Beijing,白菜,2.97,1372,Hebei
2019-04-14,Beijing,白菜,2.69,1454,Guangdong
2019-04-15,Beijing,白菜,2.7,1281,Shandong
2019-04-16,Beijing,白菜,2.59,1335,Sichuan
2019-04-17,Beijing,白菜,2.77,1712,Hebei
2019-04-18,Beijing,白菜,2.47,1726,Guangdong
2019-04-19,Beijing,白菜,2.83,1620,Shandong
2019-04-20,Beijing,白菜,2.83,1557,Guangdong
2019-04-21,Beijing,白菜,3.0,1272,Hebei
2019-04-22,Beijing,白菜,2.61,1755,Henan
2019-04-23,Beijing,白菜,2.68,1675,Henan
2019-04-24,Beijing,白菜,2.75,1731,Guangdong
2019-04-25,Beijing,白菜,2.94,1404,Guangdong
2019-04-26,Beijing,白菜,2.47,1513,Hebei
2019-04-27,Beijing,白菜,2.8,1499,Hebei
2019-04-28,Beijing,白菜,2.54,1779,Shandong
2019-04-29,Beijing,白菜,2.88,1375,Shandong
2019-04-30,Beijing,白菜,3.0,1566,Henan
2019-05-01,Beijing,白菜,2.77,1641,Shandong
2019-05-02,Beijing,白菜,2.7,1600,Shandong
2019-05-03,Beijing,白菜,2.38,1923,Henan
2019-05-04,Beijing,白菜,2.81,1668,Hebei
2019-05-05,Beijing,白菜,3.01,1147,Henan
2019-05-06,Beijing,白菜,2.61,1751,Hebei
2019-05-07,Beijing,白菜,2.59,1287,Shandong
2019-05-08,Beijing,白菜,2.44,1538,Henan
2019-05-09,Beijing,白菜,2.68,1352,Sichuan
2019-05-10,Beijing,白菜,2.6,1682,Guangdong
2019-05-11,Beijing,白菜,2.49,1687,Guangdong
2019-05-12,Beijing,白菜,2.57,1468,Guangdong
2019-05-13,Beijing,白菜,2.25,1867,Shandong
2019-05-14,Beijing,白菜,2.39,1477,Shandong
2019-05-15,Beijing,白菜,2.47,1655,Henan
2019-05-16,Beijing,白菜,2.55,1530,Hebei
2019-05-17,Beijing,白菜,2.59,1547,Shandong
2019-05-18,Beijing,白菜,2.94,1393,Shandong
2019-05-19,Beijing,白菜,2.79,1293,Henan
2019-05-20,Beijing,白菜,2.52,1434,Henan
2019-05-21,Beijing,白菜,2.58,1473,Sichuan
2019-05-22,Beijing,白菜,2.36,1586,Shandong
2019-05-23,Beijing,白菜,2.41,1464,Hebei
2019-05-24,Beijing,白菜,2.51,1830,Sichuan
2019-05-25,Beijing,白菜,2.84,1482,Hebei
2019-05-26,Beijing,白菜,2.35,1509,Sichuan
2019-05-27,Beijing,白菜,2.18,2010,Guangdong
2019-05-28,Beijing,白菜,2.38,1471,Sichuan
2019-05-29,Beijing,白菜,2.49,1750,Henan
2019-05-30,Beijing,白菜,2.36,1819,Henan
2019-05-31,Beijing,白菜,2.49,1890,Shandong
2019-06-01,Beijing,白菜,2.43,1738,Sichuan
2019-06-02,Beijing,白菜,2.27,1772,Hebei
2019-06-03,Beijing,白菜,2.52,1323,Henan
2019-06-04,Beijing,白菜,2.55,1304,Shandong
2019-06-05,Beijing,白菜,2.72,1763,Shandong
2019-06-06,Beijing,白菜,2.29,1876,Guangdong
2019-06-07,Beijing,白菜,2.37,1516,Henan
2019-06-08,Beijing,白菜,2.5,1616,Sichuan
2019-06-09,Beijing,白菜,2.49,1663,Sichuan
2019-06-10,Beijing,白菜,2.4,1595,Sichuan
2019-06-11,Beijing,白菜,2.4,1594,Henan
2019-06-12,Beijing,白菜,2.29,1856,Shandong
2019-06-13,Beijing,白菜,2.28,1983,Henan
2019-06-14,Beijing,白菜,1.94,2378,Hebei
2019-06-15,Beijing,白菜,2.36,1834,Guangdong
2019-06-16,Beijing,白菜,2.25,1832,Henan
2019-06-17,Beijing,白菜,2.14,1797,Guangdong
2019-06-18,Beijing,白菜,2.34,1977,Guangdong
2019-06-19,Beijing,白菜,2.08,1765,Hebei
2019-06-20,Beijing,白菜,2.49,1673,Henan
2019-06-21,Beijing,白菜,2.25,1610,Sichuan
2019-06-22,Beijing,白菜,2.33,2145,Guangdong
2019-06-23,Beijing,白菜,2.54,1501,Henan
2019-06-24,Beijing,白菜,2.27,2094,Henan
2019-06-25,Beijing,白菜,2.0,1861,Shandong
2019-06-26,Beijing,白菜,2.22,1595,Shandong
2019-06-27,Beijing,白菜,2.19,1962,Sichuan
2019-06-28,Beijing,白菜,2.06,2192,Hebei
2019-06-29,Beijing,白菜,2.28,1774,Henan
2019-06-30,Beijing,白菜,2.64,1593,Guangdong
2019-07-01,Beijing,白菜,2.0,2134,Hebei
2019-07-02,Beijing,白菜,1.95,1709,Hebei
2019-07-03,Beijing,白菜,2.09,2065,Henan
2019-07-04,Beijing,白菜,1.85,2103,Sichuan
2019-07-05,Beijing,白菜,2.16,1570,Sichuan
2019-07-06,Beijing,白菜,2.13,2005,Henan
2019-07-07,Beijing,白菜,2.12,1680,Sichuan
2019-07-08,Beijing,白菜,1.96,1858,Guangdong
2019-07-09,Beijing,白菜,2.25,1716,Guangdong
2019-07-10,Beijing,白菜,2.2,1746,Henan
2019-07-11,Beijing,白菜,1.98,2329,Shandong
2019-07-12,Beijing,白菜,1.91,1343,Henan
2019-07-13,Beijing,白菜,2.14,1820,Henan
2019-07-14,Beijing,白菜,2.22,1564,Sichuan
2019-07-15,Beijing,白菜,1.93,2282,Hebei
2019-07-16,Beijing,白菜,2.08,1707,Guangdong
2019-07-17,Beijing,白菜,2.08,1560,Henan
2019-07-18,Beijing,白菜,1.89,2073,Henan
2019-07-19,Beijing,白菜,1.66,2192,Shandong
2019-07-20,Beijing,白菜,1.75,2684,Shandong
2019-07-21,Beijing,白菜,1.77,2517,Shandong
2019-07-22,Beijing,白菜,2.09,1786,Hebei
2019-07-23,Beijing,白菜,1.92,2059,Sichuan
2019-07-24,Beijing,白菜,1.87,2370,Hebei
2019-07-25,Beijing,白菜,2.14,1884,Shandong
2019-07-26,Beijing,白菜,1.76,2178,Henan
2019-07-27,Beijing,白菜,2.13,2098,Shandong
2019-07-28,Beijing,白菜,1.94,2344,Shandong
2019-07-29,Beijing,白菜,1.99,2100,Guangdong
2019-07-30,Beijing,白菜,1.86,2360,Sichuan
2019-07-31,Beijing,白菜,2.25,1737,Hebei
2019-08-01,Beijing,白菜,1.86,1638,Shandong
2019-08-02,Beijing,白菜,1.74,2349,Sichuan
2019-08-03,Beijing,白菜,2.01,1960,Henan
2019-08-04,Beijing,白菜,1.72,2935,Guangdong
2019-08-05,Beijing,白菜,1.81,1827,Henan
2019-08-06,Beijing,白菜,1.75,2129,Guangdong
2019-08-07,Beijing,白菜,1.67,2946,Hebei
2019-08-08,Beijing,白菜,1.73,2718,Henan
2019-08-09,Beijing,白菜,1.6,2478,Shandong
2019-08-10,Beijing,白菜,1.65,2654,Shandong
2019-08-11,Beijing,白菜,1.97,1909,Hebei
2019-08-12,Beijing,白菜,1.69,2510,Sichuan
2019-08-13,Beijing,白菜,1.76,2415,Guangdong
2019-08-14,Beijing,白菜,1.82,2495,Hebei
2019-08-15,Beijing,白菜,1.9,2325,Hebei
2019-08-16,Beijing,白菜,1.8,2247,Guangdong
2019-08-17,Beijing,白菜,1.73,2270,Henan
2019-08-18,Beijing,白菜,1.94,2046,Henan
2019-08-19,Beijing,白菜,1.43,2945,Sichuan
2019-08-20,Beijing,白菜,1.66,2659,Shandong
2019-08-21,Beijing,白菜,1.61,2380,Hebei
2019-08-22,Beijing,白菜,1.83,2372,Hebei
2019-08-23,Beijing,白菜,1.41,3008,Henan
2019-08-24,Beijing,白菜,1.83,2195,Henan
2019-08-25,Beijing,白菜,2.13,1759,Sichuan
2019-08-26,Beijing,白菜,1.53,2988,Sichuan
2019-08-27,Beijing,白菜,1.53,2539,Shandong
2019-08-28,Beijing,白菜,1.28,2741,Sichuan
2019-08-29,Beijing,白菜,1.56,2352,Henan
2019-08-30,Beijing,白菜,1.56,2399,Guangdong
2019-08-31,Beijing,白菜,1.72,2892,Shandong
2019-09-01,Beijing,白菜,1.6,2467,Shandong
2019-09-02,Beijing,白菜,1.49,2645,Hebei
2019-09-03,Beijing,白菜,1.66,2997,Henan
2019-09-04,Beijing,白菜,1.68,2624,Henan
2019-09-05,Beijing,白菜,1.44,2584,Hebei
2019-09-06,Beijing,白菜,1.41,2877,Hebei
2019-09-07,Beijing,白菜,1.61,2040,Henan
2019-09-08,Beijing,白菜,1.69,2452,Hebei
2019-09-09,Beijing,白菜,1.51,2441,Henan
2019-09-10,Beijing,白菜,1.4,2859,Sichuan
2019-09-11,Beijing,白菜,1.67,2397,Henan
2019-09-12,Beijing,白菜,1.63,2898,Guangdong
2019-09-13,Beijing,白菜,1.7,2369,Sichuan
2019-09-14,Beijing,白菜,1.69,2543,Henan
2019-09-15,Beijing,白菜,1.47,2884,Guangdong
2019-09-16,Beijing,白菜,1.49,2726,Henan
2019-09-17,Beijing,白菜,1.76,2345,Sichuan
2019-09-18,Beijing,白菜,1.64,2073,Hebei
2019-09-19,Beijing,白菜,1.46,2491,Guangdong
2019-09-20,Beijing,白菜,1.55,2476,Shandong
2019-09-21,Beijing,白菜,1.55,2866,Guangdong
2019-09-22,Beijing,白菜,1.63,2549,Shandong
2019-09-23,Beijing,白菜,1.58,2375,Hebei
2019-09-24,Beijing,白菜,1.69,2001,Henan
2019-09-25,Beijing,白菜,1.83,2028,Sichuan
2019-09-26,Beijing,白菜,1.48,2151,Henan
2019-09-27,Beijing,白菜,1.61,2472,Henan
2019-09-28,Beijing,白菜,1.67,2272,Guangdong
2019-09-29,Beijing,白菜,1.68,2524,Sichuan
2019-09-30,Beijing,白菜,1.47,2414,Guangdong
2019-10-01,Beijing,白菜,1.45,3190,Henan
2019-10-02,Beijing,白菜,1.46,2826,Guangdong
2019-10-03,Beijing,白菜,1.57,2725,Shandong
2019-10-04,Beijing,白菜,1.59,2513,Hebei
2019-10-05,Beijing,白菜,1.72,2493,Shandong
2019-10-06,Beijing,白菜,1.46,2833,Guangdong
2019-10-07,Beijing,白菜,1.77,2595,Sichuan
2019-10-08,Beijing,白菜,1.51,2276,Guangdong
2019-10-09,Beijing,白菜,1.41,3112,Guangdong
2019-10-10,Beijing,白菜,1.83,2100,Shandong
2019-10-11,Beijing,白菜,1.27,3400,Guangdong
2019-10-12,Beijing,白菜,1.77,2447,Hebei
2019-10-13,Beijing,白菜,2.01,1986,Sichuan
2019-10-14,Beijing,白菜,1.54,2397,Hebei
