date,product,avg_price,low_price,high_price,n_records,origin,price_pct_ch,rolling_mean,rolling_std,rolling_z,rolling_vol,origin_prev,origin_changed,price_anom,surge,crash,origin_shift_alert,sustained_high,anomaly_any
2026-06-17,南北瓜,0.95,0.8,1.1,1,桂海,0.05555555555555558,0.9016666666666667,0.00912870929167869,5.29465138925956,0.014847846772912487,桂海,False,True,False,False,False,False,True
2026-08-06,柿子椒,1.6,1.2,2.0,1,鲁,0.06666666666666665,1.5033333333333334,0.018257418583433462,5.294651389237508,0.017817416127494958,鲁,False,True,False,False,False,False,True
2026-07-28,蒜苗,3.85,2.0,5.7,1,鲁豫苏,0.0547945205479452,3.6566666666666667,0.03651483716695125,5.2946513892252804,0.014644451611639667,鲁豫苏,False,True,False,False,False,False,True
2026-04-01,口蘑,7.5,7.0,8.0,1,豫,-0.032258064516129004,7.741666666666666,0.04564354645874869,-5.294651389218354,0.008621330384271746,豫,False,True,False,False,False,False,True
2026-06-12,花生,4.65,3.8,5.5,1,粤海,-0.06999999999999995,4.988333333333333,0.06390096504225926,-5.294651389217439,0.018708286933869705,粤海,False,True,False,False,False,False,True
2026-06-14,西芹,2.05,1.9,2.2,1,辽,0.2058823529411764,1.7116666666666667,0.06390096504226592,5.29465138921689,0.05502437333491088,辽,False,True,True,False,False,False,True
2026-05-10,彩椒,5.5,5.0,6.0,1,鲁闽,-0.15384615384615385,6.466666666666667,0.1825741858350468,-5.294651389216854,0.041117114140372994,鲁闽,False,True,False,True,False,False,True
2026-06-20,红尖椒,3.5,3.0,4.0,1,鲁辽,-0.2222222222222222,4.466666666666667,0.18257418583504742,-5.294651389216837,0.059391387091649886,鲁辽,False,True,False,True,False,False,True
2026-03-30,山药,4.05,2.8,6.0,3,冀/豫冀/豫鲁,-0.02008226469876606,4.130233333333333,0.015153657424309384,-5.294651389216668,0.005367211003806257,冀/豫冀/豫鲁,False,True,False,False,False,False,True
2026-04-11,卞萝卜,0.75,0.7,0.8,1,冀,-0.11764705882352944,0.8466666666666666,0.01825741858350538,-5.294651389216646,0.03144249904852053,冀,False,True,False,False,False,False,True
2026-04-01,金针菇,3.25,3.0,3.5,1,皖鲁,-0.0714285714285714,3.4916666666666667,0.04564354645876372,-5.294651389216621,0.019090088708030306,皖鲁,False,True,False,False,False,False,True
2026-03-12,土豆,1.2,0.7,1.9,2,桂云/陕蒙冀,0.09090909090909083,1.1033333333333333,0.018257418583505505,5.294651389216615,0.024296476537493106,陕蒙冀,True,True,False,False,True,False,True
2026-02-12,莲藕,4.0,3.5,4.5,1,津,0.26984126984126977,3.1783333333333332,0.15518805795979693,5.294651389216611,0.07211811289700339,津,False,True,True,False,False,False,True
2026-04-15,紫薯,1.75,1.5,2.0,1,冀,-0.125,1.9916666666666667,0.045643546458763846,-5.294651389216606,0.03340765523905305,冀,False,True,False,True,False,False,True
2026-02-06,杭椒,6.0,5.0,7.0,1,鲁粤,-0.19999999999999996,7.45,0.2738612787525831,-5.294651389216606,0.053452248382484864,鲁粤,False,True,False,True,False,False,True
2026-03-02,心里美,1.35,1.2,1.5,1,冀,0.2272727272727273,1.1083333333333334,0.045643546458763846,5.294651389216606,0.06074119134373282,冀,False,True,True,False,False,False,True
