date,product,avg_price,low_price,high_price,n_records,origin,price_pct_ch,rolling_mean,rolling_std,rolling_z,rolling_vol,origin_prev,origin_changed,price_anom,surge,crash,origin_shift_alert,sustained_high,anomaly_any
2026-06-19,南北瓜,1.15,1.1,1.2,1,桂云川,0.21052631578947367,0.9116666666666667,0.04676303678327639,5.096617964267176,0.057076627173196344,桂海,True,True,True,False,True,True,True
2026-02-13,青萝卜,2.4,1.8,3.0,1,津鲁,0.19999999999999996,1.93,0.09523111632886347,4.935361656130753,0.054215607863492915,津鲁,False,True,True,False,False,True,True
2026-08-10,芥兰,3.5,3.0,4.0,1,,0.4583333333333335,2.1,0.2903624370120702,4.8215603037585835,0.12370882142927182,,True,True,True,False,True,True,True
2026-07-19,团生菜,2.25,2.0,2.5,1,冀,0.4516129032258065,1.2866666666666666,0.2161310798523885,4.457171703353646,0.12292606327871317,冀,False,True,True,False,False,True,True
2026-08-08,柿子椒,1.85,1.5,2.2,1,鲁,0.08823529411764719,1.521666666666667,0.07390969948632121,4.442357844982163,0.03132974655212808,鲁,False,True,False,False,False,True,True
2026-07-13,黄瓜,2.325,1.5,3.0,2,冀/辽冀鲁,0.5245901639344264,1.05,0.30307333811447773,4.20690255346184,0.16979047066796232,冀/辽冀鲁,False,True,True,False,False,True,True
2026-01-25,白萝卜,0.6,0.5,0.7,1,鄂川,0.09090909090909083,0.5072,0.022457367016935306,4.132274274629731,0.028751635043855545,鄂,True,True,False,False,True,True,True
2026-08-10,散叶生菜,2.5,2.0,3.0,1,冀,0.25,1.3883333333333334,0.27123069876771644,4.098601934505594,0.08750687780635298,冀,False,True,True,False,False,True,True
2026-02-14,青萝卜,2.5,1.8,3.2,1,津鲁,0.04166666666666674,1.95,0.14081046199376213,3.9059597718269323,0.05429241450360857,津鲁,False,True,False,False,False,True,True
2026-08-10,散生菜,2.95,2.5,3.4,1,,0.18000000000000016,2.2299999999999995,0.1845778034251164,3.900794064287942,0.06004395195799909,,True,True,True,False,True,True,True
2026-05-21,西葫芦,1.65,1.3,2.0,2,鲁,0.11864406779661008,1.0341666666666667,0.15804344303088286,3.896607929586771,0.06783742317094199,鲁,False,True,False,False,False,True,True
2026-02-11,扁豆,6.25,4.5,8.0,1,云,0.08695652173913038,4.9333333333333345,0.34148088585204744,3.855755098506844,0.04168094931009062,云,False,True,False,False,False,True,True
2026-08-11,散生菜,3.25,2.5,4.0,1,,0.10169491525423724,2.275,0.2531695629142775,3.851173848770013,0.06335613149429613,,True,True,False,False,True,True,True
2026-08-09,柿子椒,1.95,1.7,2.2,1,冀晋,0.054054054054053946,1.5366666666666666,0.10742546199600392,3.847629096989211,0.032574822126658166,鲁,True,True,False,False,True,True,True
2026-07-15,樱桃萝卜,4.75,4.5,5.0,1,,0.2666666666666666,2.381666666666667,0.6271835420371787,3.776140754013824,0.1695534159893954,,True,True,True,False,True,True,True
2026-05-22,西葫芦,1.9,1.6,2.2,2,鲁,0.1515151515151516,1.0641666666666665,0.22328690116055516,3.743315568396575,0.07282722204681227,鲁,False,True,True,False,False,True,True
2026-07-26,紫薯,1.95,1.6,2.3,1,冀闽,0.08333333333333326,1.6316666666666668,0.08558453507309985,3.7195193391123387,0.038699280486002706,冀闽,False,True,False,False,False,True,True
2026-03-02,黄心菜,3.35,3.2,3.5,1,,0.21818181818181825,2.26,0.2963571936142206,3.677994067587557,0.10089870518436594,,True,True,True,False,True,True,True
2026-07-16,鸡毛菜,8.4,7.8,9.0,1,,0.40000000000000013,3.3833333333333333,1.3885823416492922,3.6127973950094376,0.20506649217363124,,True,True,True,False,True,True,True
2026-06-20,南北瓜,1.15,1.1,1.2,1,桂云川,0.0,0.9199999999999999,0.06378844344581583,3.6056687947773827,0.057076627173196344,桂云川,False,True,False,False,False,True,True
2026-02-12,茴香,5.0,4.5,5.5,1,冀,0.05263157894736836,3.1233333333333335,0.5212275519574351,3.600474801493073,0.10804976441373663,冀,False,True,False,False,False,True,True
