product,n_days,mean_price,std_price,avg_rolling_vol,max_abs_z,n_price_anom,n_surge,n_crash,n_origin_shift,n_sustained,n_anomalies,anomaly_rate,risk_score
鸡毛菜,153,3.9313725490196076,1.5438213264253398,0.1408699663570386,3.6127973950094376,3,19,21,74,9,77,0.5033,216.41
蒿子秆,153,3.5031568627450977,1.0971418137336326,0.11562102660380046,3.436371701540669,4,15,18,73,7,80,0.5229,206.16
快菜,153,1.173202614379085,0.4089872819969165,0.202811002816855,3.326848989610521,2,23,26,62,5,65,0.4248,191.03
奶白菜,153,2.9558823529411766,0.8298291908990134,0.11747331982686765,3.605226094946265,3,15,17,68,6,72,0.4706,190.17
盖菜,153,2.145098039215686,0.805772037149089,0.12722823579084622,3.25631336890975,1,16,14,72,5,75,0.4902,188.27
茼蒿,153,5.181699346405228,1.9734066827008871,0.11691999883101599,2.8740027456633275,0,18,16,74,0,74,0.4837,183.17
空心菜,153,4.688235294117646,2.519070452423362,0.1059046720663108,3.1783477105283677,1,15,16,69,2,71,0.4641,177.06
苋菜,153,4.780065359477124,2.1036570590321566,0.12249480700807082,3.2038841929227275,1,13,18,69,1,70,0.4575,175.22
荠菜,150,8.335,2.9036152540624514,0.36465678127527407,3.7002354310791508,4,24,23,56,0,56,0.3733,174.65
菊花菜,153,2.8088235294117645,1.212722004188398,0.1045201706028972,4.641932642619732,4,14,14,58,7,63,0.4118,171.05
菜心,153,2.4604575163398694,0.6226707542907843,0.1300299697405041,4.020100204385772,5,12,15,54,5,59,0.3856,161.3
黄心菜,153,3.1209150326797386,0.8900327902572231,0.06978970612234464,4.802383175128412,5,7,5,54,12,63,0.4118,159.7
樱桃萝卜,153,2.6745098039215685,0.7019502355060044,0.10260964520117291,3.776140754013824,3,12,13,58,4,60,0.3922,159.03
穿心莲,153,3.5588235294117645,1.1456599690597031,0.1195557524896836,5.102520385624571,6,14,19,53,0,55,0.3595,158.2
木耳菜,153,4.67483660130719,2.0785173437152777,0.09730589184665603,3.018515286509596,1,12,11,51,0,51,0.3333,128.97
散生菜,153,2.3986928104575163,0.6344275214819732,0.06868863231026642,4.180743417564479,5,3,9,40,7,41,0.268,121.69
香芹,153,2.7591503267973856,0.4072710007386431,0.06471731635745631,3.2536249046542576,2,6,5,51,1,52,0.3399,121.65
芥兰,153,2.6601307189542482,0.8191852394204546,0.06867946871005069,4.8215603037585835,2,7,9,43,5,45,0.2941,118.69
水萝卜,179,2.1412569832402237,0.7999062170407917,0.20519338058332234,4.003257913474402,4,19,21,20,1,52,0.2905,96.05
荆芥,153,5.18921568627451,2.147121245752753,0.06523529916128397,4.694855340334422,6,5,11,26,4,31,0.2026,94.65
香葱,153,3.5698235294117646,0.5962380101149891,0.06138701425469469,3.8459305140330016,1,2,5,41,1,42,0.2745,94.61
苦菊,216,3.027361111111111,0.7935568379383797,0.10911371886827219,3.6895212882307176,8,23,25,1,8,57,0.2639,91.09
小白菜,216,1.7592592592592593,0.711464200937892,0.3287318814674897,3.48391213781681,2,38,37,1,2,77,0.3565,90.29
菠菜,216,2.621759259259259,0.9740415240694529,0.30041502456514096,3.088623779582076,1,35,39,2,0,75,0.3472,84.0
油菜,216,1.0729166666666667,0.31473733973466805,0.16119333936735003,3.231714310157156,1,33,29,2,5,66,0.3056,80.61
散叶生菜,216,1.5976851851851852,0.6577581466621528,0.06903442930981321,4.992613591714211,11,11,10,1,10,30,0.1389,76.69
茴香,216,2.4541666666666666,1.0988921482513068,0.13857279665145766,4.533905839488886,6,23,21,0,6,50,0.2315,75.39
扁豆,216,4.322685185185185,1.284883204524006,0.07387578219392497,3.855755098506844,5,13,12,3,13,40,0.1852,72.74
油麦菜,216,2.027837962962963,0.735481899698877,0.12037993925725216,4.1677183937720725,3,18,28,0,7,53,0.2454,70.2
豌豆苗,153,5.243137254901961,0.5662102438561835,0.033225793656504,5.029659664196179,5,3,2,19,5,23,0.1503,68.33
白萝卜,216,0.5322222222222223,0.127617403007535,0.05326189944246964,4.5873171092556495,6,4,7,5,13,29,0.1343,65.53
平菇,216,3.2034722222222225,0.6410924391254945,0.0699568869027218,4.75222778324061,8,9,13,0,9,33,0.1528,64.7
罗马生菜,216,1.7106481481481481,0.3850128917156572,0.055288780713888847,4.594875274464372,10,9,6,1,8,27,0.125,63.55
大葱,216,1.369212962962963,0.4503952589887597,0.030956311609464195,3.8537663592277034,5,1,2,3,19,27,0.125,62.31
红尖椒,216,5.542824074074074,1.6773683392893461,0.03139546339215104,5.294651389216837,11,2,6,1,9,23,0.1065,61.31
丝瓜,216,2.95462962962963,1.1412108428196621,0.08586062274993515,4.480429833956339,4,17,17,1,6,39,0.1806,60.86
南北瓜,216,1.421111111111111,0.5898582144704733,0.02262815473304903,5.29465138925956,9,1,0,3,13,21,0.0972,60.23
大蒜,216,3.2141203703703702,0.46574862403706657,0.017369410641632305,4.652073843435353,11,2,0,1,11,23,0.1065,59.17
圆白菜,216,0.8534259259259259,0.3731429354837959,0.07401824639991111,4.001756642388606,5,11,10,3,8,33,0.1528,58.74
紫苏叶,153,5.673856209150327,2.2661633251004356,0.033314955087958724,4.69485534033443,11,1,5,9,0,15,0.098,57.33
芹菜,216,1.2421296296296296,0.33875023638794016,0.037250205593465736,3.729015791390243,7,0,7,6,8,21,0.0972,56.37
西葫芦,216,1.6726851851851852,0.5585075319289448,0.06640992670339314,4.91332025047004,5,9,11,4,5,28,0.1296,53.66
莲藕,216,3.901388888888889,1.1375378007178554,0.03635193704072498,5.294651389216611,7,4,2,3,10,20,0.0926,53.36
青蒜,216,3.0832175925925926,0.6680883480538639,0.11698681876850762,3.3108940228840464,1,19,22,4,0,42,0.1944,53.17
韭菜,216,1.894212962962963,0.7777584553709117,0.06646634905814397,4.804839786393547,8,11,9,1,3,26,0.1204,52.66
葱头,216,0.7657638888888889,0.12004357655167484,0.01334784595716424,5.0037023329767605,10,0,0,3,8,19,0.088,52.13
团生菜,216,1.6421296296296295,0.5461987898208153,0.07613528387594151,4.782189788968791,6,7,7,0,9,23,0.1065,50.76
土豆,216,1.059837962962963,0.12701344606907894,0.018963597586604816,5.294651389216615,6,0,1,4,11,17,0.0787,49.19
香菜,216,3.907175925925926,2.614193261049271,0.0925135935485699,4.468108821618248,2,14,14,2,5,34,0.1574,48.93
美人椒,216,6.91875,3.452068178542006,0.03859170420169976,5.294651389199915,6,3,9,1,8,23,0.1065,48.39
柿子椒,216,2.39375,0.6797197182286515,0.029283599620413096,5.294651389237508,9,1,2,2,7,15,0.0694,48.29
贝贝南瓜,216,1.8094907407407408,0.5677701958210775,0.017927064792637597,5.294651389216337,13,1,0,1,3,16,0.0741,48.18
卞萝卜,216,0.7856481481481481,0.07747495497073544,0.013873237011898588,5.294651389216646,9,2,1,0,9,18,0.0833,48.14
白豆,216,3.9331018518518515,1.1793096556869855,0.07605624922455924,3.650856415125593,3,14,9,2,5,28,0.1296,46.76
紫薯,216,1.8037037037037038,0.2131931871706649,0.009456372323648524,5.294651389216606,9,0,1,1,8,16,0.0741,46.09
黄瓜,216,1.9861111111111112,0.995117927646006,0.0651272590982616,4.20690255346184,4,9,4,3,7,21,0.0972,45.65
小米椒,216,9.00462962962963,5.228275259372751,0.02822525172786495,5.294651389212736,9,2,5,0,5,17,0.0787,44.28
兰花,21,18.428571428571427,6.884830633874944,0.2567165436034597,2.7989686218806584,0,5,4,15,1,16,0.7619,43.57
毛冬瓜,216,1.3428240740740742,0.5625042731199548,0.04242044200311459,4.494869122791537,5,3,5,3,7,18,0.0833,43.42
娃娃菜,216,1.0393518518518519,0.28656351428171223,0.03374324896836873,3.794778470821294,6,4,1,1,9,18,0.0833,43.34
大白菜,216,0.732175925925926,0.3503412111855419,0.08425528666769246,4.29010869504033,4,12,10,2,2,24,0.1111,42.84
蒜黄,216,4.524768518518519,1.0940961830639038,0.03093173020949831,4.719583465212371,7,3,1,0,8,16,0.0741,41.31
线椒,216,4.493055555555555,1.5824099714768813,0.030151885949629274,5.294651389215586,8,1,5,0,5,16,0.0741,40.3
豇豆,216,3.6481481481481484,1.3603253018257255,0.11216940256342289,2.9266625032383815,0,12,19,2,2,32,0.1481,40.12
油豆,216,4.813425925925926,1.0367235168073816,0.07075378233606268,4.489996544812184,4,8,7,2,4,21,0.0972,39.71
尖椒,216,2.9550925925925924,1.3104311347142947,0.040255217373602874,4.00693842672377,4,2,3,1,10,18,0.0833,39.4
青萝卜,216,1.3710648148148148,0.519555512590543,0.03162354013150975,5.294651389215705,6,4,5,0,6,16,0.0741,39.32
香椿,21,26.071428571428573,11.200765279977206,0.15056525979772184,0.7166267843814368,0,2,4,15,0,15,0.7143,37.51
小葱,216,2.803703703703704,0.8765870312912909,0.04419618410310399,3.577061918994181,4,3,2,0,10,17,0.0787,37.44
板栗南瓜,216,2.078009259259259,0.8318878613535334,0.023109295321861182,5.161404353387625,11,1,3,0,0,13,0.0602,37.23
蚕豆仁,21,12.880952380952381,1.7331673455321754,0.11916338271105577,0.9771570646611694,0,2,2,16,0,16,0.7619,37.19
花生,216,4.622453703703704,0.6236188442975091,0.01587639296504497,5.294651389217439,8,1,2,2,3,12,0.0556,37.16
